Date_BJT,SelectionTime_BJT,Rank,Symbol,PE6h,PE12h,PE24h,PE72h,SelectionPrice,SelectionMA30,SelectionATR14,UniverseUsed,DataQuality,BuyA_Time_BJT,BuyA_Price,BuyB_Time_BJT,BuyB_Price,BuyC_Time_BJT,BuyC_Price,FilledTranches,MarginUsed_USD,NotionalFilled_USD,AvgEntry,TP1_Time_BJT,TP1_Price,TP2_Target_Last,TP2_Time_BJT,TP2_Price,Stop_Time_BJT,Stop_Price,ExitTime_BJT,ExitPrice,ExitReason,GrossPnL_USD,FeesAssumed_USD,NetPnL_USD,ReturnOnUsedMarginPct,NetReturnOnUsedMarginPct,MAE_Pct,MFE_Pct,HoldHours,LiqRiskFlag,TP1Executed,OpenRemainingQty,Notes
2026-06-11,2026-06-11 08:00,10,PARTIUSDT,0.7371863333185756,0.5909321248103169,0.18526858003694685,0.09169475682854573,0.05916,0.055403,0.0015985669413504087,515,SURVIVORSHIP_BIAS_CURRENT_527,2026-06-11 17:15,0.05869772435605922,2026-06-11 17:00,0.059682419867422155,2026-06-12 02:00,0.058241666666666664,3,30.0,300.0,0.05887393696338268,,,0.07064872435605922,,,2026-06-12 08:59,0.05918,2026-06-12 08:59,0.05918,STOP_MA30_CLOSE,1.5909067438163729,0.3007954533719082,1.2901112904444647,5.303022479387909,4.300370968148216,-3.4635404867736974,3.9025596790937644,15.999999722222222,False,False,0.0,
2026-06-12,2026-06-12 08:00,1,COAIUSDT,0.9999999999999998,0.636763810122238,0.6520928206655838,0.2959642859828146,0.3109,0.25649,0.011510529851394532,515,SURVIVORSHIP_BIAS_CURRENT_527,2026-06-12 09:30,0.2721388253381997,2026-06-12 09:30,0.27868657134063285,,,2,20.0,200.0,0.2754126983394163,2026-06-12 16:45,0.31167426680240284,0.3304952380072995,2026-06-12 18:00,0.3304952380072995,,,2026-06-12 18:00,0.3304952380072995,TP2,35.52301600281909,0.21776150800140953,35.30525449481768,177.61508001409544,176.52627247408842,-1.2391216381789638,16.697596711357644,8.5,False,True,0.0,AMBIGUOUS_INTRABAR
2026-06-12,2026-06-12 08:00,2,VETUSDT,0.9456456916281478,0.6276829783219924,0.49567103690515624,0.025663320214934917,0.004987,0.0048012666666666665,5.824011203769199e-05,515,SURVIVORSHIP_BIAS_CURRENT_527,2026-06-12 14:30,0.0049110658736843645,2026-06-12 13:30,0.0049306141036439734,2026-06-13 05:45,0.004966633333333333,3,30.0,300.0,0.004936104436887224,2026-06-12 17:30,0.005035318904319842,0.005923325324264668,,,2026-06-13 05:59,0.004971,2026-06-13 05:59,0.004971,STOP_MA30_CLOSE,2.9900646327428846,0.3014950323163715,2.688569600426513,9.966882109142947,8.961898668088377,-0.667365505479145,3.9659897860001347,16.49999972222222,False,True,0.0,
2026-06-12,2026-06-12 08:00,3,AIAUSDT,0.9359464291961782,0.6450791165728498,0.41313436822500227,0.11837847036025465,0.05887,0.05645633333333333,0.0011009929604824567,515,SURVIVORSHIP_BIAS_CURRENT_527,2026-06-12 12:00,0.05864983687207603,2026-06-12 11:15,0.05917612110104589,2026-06-12 14:30,0.05745033333333334,3,30.0,300.0,0.058425430435485086,,,0.0701105165225821,,,2026-06-12 14:59,0.05724,2026-06-12 14:59,0.05724,STOP_MA30_CLOSE,-6.041728501223135,0.29697913574938845,-6.338707636972523,-20.139095004077117,-21.129025456575075,-4.870191651608091,1.4598437391308616,3.7499997222222223,False,False,0.0,
2026-06-12,2026-06-12 08:00,4,XPINUSDT,0.9230646502217834,0.8434555959432672,0.38641119383025335,0.10978630404291234,0.001256,0.0011936333333333333,1.9764476979856558e-05,515,SURVIVORSHIP_BIAS_CURRENT_527,2026-06-12 13:00,0.0012244719679386103,2026-06-12 13:00,0.0012345746185745822,2026-06-12 14:30,0.0012056,3,30.0,300.0,0.0012215488621710642,,,0.001465858634605277,,,2026-06-12 14:59,0.001206,2026-06-12 14:59,0.001206,STOP_MA30_CLOSE,-3.789919023050348,0.29810504048847486,-4.088024063538823,-12.633063410167827,-13.626746878462741,-1.6821973158357761,1.0147596887210897,1.9999997222222223,False,False,0.0,AMBIGUOUS_INTRABAR
2026-06-12,2026-06-12 08:00,5,STGUSDT,0.8951094018595018,0.6655869853972869,0.4515456607976597,0.35114134578191014,0.6453,0.4847,0.046963958749364695,515,SURVIVORSHIP_BIAS_CURRENT_527,2026-06-12 10:00,0.5462330052481766,2026-06-12 09:00,0.5646174187342342,,,2,20.0,200.0,0.5554252119912054,2026-06-12 15:00,0.6765924857255046,0.6665102543894464,2026-06-12 15:00,0.6665102543894464,,,2026-06-12 15:00,0.6665102543894464,TP2,41.264131858595505,0.22063206592929777,41.0434997926662,206.32065929297752,205.21749896333102,-3.2993122378275452,19.998153776741656,6.0,False,True,0.0,AMBIGUOUS_INTRABAR
2026-06-12,2026-06-12 08:00,6,TAUSDT,0.8883623730613766,0.5658554335831336,0.48466075677281745,-0.1046554657358453,0.07613,0.07014533333333332,0.001774597192100489,515,SURVIVORSHIP_BIAS_CURRENT_527,2026-06-13 01:15,0.07754047300110707,2026-06-12 17:00,0.07590738157869084,2026-06-13 14:30,0.078188,3,30.0,300.0,0.0772119515265993,2026-06-12 23:45,0.08109831237466049,0.09265434183191916,,,2026-06-13 15:59,0.07798,2026-06-13 15:59,0.07798,STOP_MA30_CLOSE,4.38692327042903,0.30219346163521454,4.084729808793815,14.623077568096765,13.615766029312718,-0.8133353645597974,6.853903155539309,22.99999972222222,False,True,0.0,
2026-06-12,2026-06-12 08:00,7,CFGUSDT,0.8845294174914311,0.6900485097909059,0.43831693845076536,0.11680243045416287,0.2174,0.19948,0.004574658434956243,515,SURVIVORSHIP_BIAS_CURRENT_527,2026-06-12 15:30,0.2080698233975321,2026-06-12 14:30,0.2100079198472955,2026-06-12 23:45,0.20734,3,30.0,300.0,0.2084725810816092,2026-06-12 17:45,0.218766209842936,0.250167097297931,,,2026-06-12 23:59,0.206,2026-06-12 23:59,0.206,STOP_MA30_CLOSE,0.4812554234762012,0.3002406277117381,0.1810147957644631,1.6041847449206708,0.6033826525482104,-1.3299499949702476,4.908717836996757,9.499999722222222,False,True,0.0,
2026-06-12,2026-06-12 08:00,8,PIPPINUSDT,0.8779813955109433,0.22683905471464183,0.3138526551319343,-0.11078859146437761,0.02129,0.020707333333333335,0.0007213967387684707,515,SURVIVORSHIP_BIAS_CURRENT_527,2026-06-12 08:00,0.021428730072101804,,,2026-06-12 08:30,0.020707333333333335,2,20.0,200.0,0.02106803170271757,,,0.02528163804326108,,,2026-06-12 10:59,0.02037,2026-06-12 10:59,0.02037,STOP_MA30_CLOSE,-6.5697562682209565,0.19671512186588952,-6.766471390086846,-32.84878134110478,-33.83235695043423,-4.642254751265695,1.4807662228939478,2.9999997222222223,False,False,0.0,
2026-06-12,2026-06-12 08:00,9,FOGOUSDT,0.8247613861079973,0.709160546733596,0.6843075854640296,0.16888807479334447,0.0124,0.011441666666666666,0.00022053302512664856,515,SURVIVORSHIP_BIAS_CURRENT_527,2026-06-12 21:30,0.01207640812346835,2026-06-12 14:30,0.01200164750024231,,,2,20.0,200.0,0.01203902781185533,,,0.014446833374226396,,,2026-06-13 06:59,0.01217,2026-06-13 06:59,0.01217,STOP_MA30_CLOSE,2.1777425409904114,0.2010888712704952,1.9766536697199162,10.888712704952058,9.88326834859958,-0.34701485976378343,4.991866432544234,16.49999972222222,False,False,0.0,
2026-06-12,2026-06-12 08:00,10,QNTUSDT,0.820132465448298,0.5382646705079102,0.2793295559400851,0.05821302854227678,68.61,65.251,1.010223949626569,515,SURVIVORSHIP_BIAS_CURRENT_527,2026-06-12 14:00,66.9691545360484,2026-06-12 13:00,67.47653168643717,2026-06-12 20:45,66.34466666666667,3,30.0,300.0,66.93011762971743,,,80.31614115566092,,,2026-06-12 20:59,66.41,2026-06-12 20:59,66.41,STOP_MA30_CLOSE,-2.317064245621973,0.298841467877189,-2.615905713499162,-7.723547485406577,-8.719685711663875,-1.2984323049210933,0.5908064437262439,7.999999722222222,False,False,0.0,
2026-06-13,2026-06-13 08:00,1,SUNUSDT,1.000000000000007,0.7969303766593326,0.13293906088516427,-0.07984856406836376,0.016919,0.016625133333333333,0.00010097283339733052,515,SURVIVORSHIP_BIAS_CURRENT_527,2026-06-13 23:45,0.016861147390551473,2026-06-13 18:15,0.016853173446390316,2026-06-14 01:00,0.0168032,3,30.0,300.0,0.01683917361231393,,,0.020207008334776715,,,2026-06-14 09:59,0.016856,2026-06-14 09:59,0.016856,STOP_MA30_CLOSE,0.30046938641399673,0.300150234693207,0.0003191517207897232,1.0015646213799891,0.0010638390692990773,-0.41078982797200236,0.8006710471081258,15.749999722222222,False,False,0.0,
2026-06-13,2026-06-13 08:00,2,ESPUSDT,0.9999999999999996,0.7864530275052145,0.5117103725058919,0.09858755990281841,0.07234,0.06663566666666666,0.0010857404512254756,515,SURVIVORSHIP_BIAS_CURRENT_527,2026-06-14 04:15,0.07329550298774257,2026-06-14 01:15,0.07364163038880978,2026-06-14 07:30,0.07221033333333333,3,30.0,300.0,0.07304915556996189,,,0.08765898668395426,,,2026-06-14 07:59,0.07198,2026-06-14 07:59,0.07198,STOP_MA30_CLOSE,-4.370142884470065,0.29781492855776504,-4.667957813027829,-14.567142948233549,-15.55985937675943,-2.2302962506789203,0.8397011417664135,6.749999722222222,False,False,0.0,
2026-06-13,2026-06-13 08:00,3,SOPHUSDT,0.9748274919040684,-0.033238362571581866,0.08704719680536761,0.09828094253094811,0.005646,0.0057393,0.00010887974593132527,515,SURVIVORSHIP_BIAS_CURRENT_527,2026-06-13 08:15,0.005848179745931326,2026-06-13 08:30,0.005902619618896988,2026-06-13 08:00,0.0057393,3,30.0,300.0,0.005830033121609438,2026-06-13 09:15,0.0061415840541420245,0.006996039745931325,,,2026-06-14 08:59,0.005764,2026-06-14 08:59,0.005764,STOP_MA30_CLOSE,3.055147808659445,0.3015275739043297,2.7536202347551155,10.183826028864816,9.178734115850386,-1.939260885473837,7.718084426016847,24.99999972222222,False,True,0.0,
2026-06-13,2026-06-13 08:00,4,NOTUSDT,0.9530162438053745,0.4393600002464398,0.32905780637252985,0.25143538768376167,0.0004703,0.00042463666666666663,1.2857644450895346e-05,515,SURVIVORSHIP_BIAS_CURRENT_527,2026-06-13 21:00,0.00047715874863680667,2026-06-13 20:30,0.0004843979785671493,2026-06-14 07:45,0.00047643,3,30.0,300.0,0.00047932890906798533,,,0.0005751946908815824,,,2026-06-14 07:59,0.0004779,2026-06-14 07:59,0.0004779,STOP_MA30_CLOSE,-0.8775628075421716,0.299561218596229,-1.1771240261384006,-2.9252093584739054,-3.9237467537946684,-3.1986388669331456,5.786790443226919,11.499999722222222,False,False,0.0,
